date,portfolio_value
2023-01-01,99700000.00000001
2023-01-02,99700000.00000001
2023-01-03,102070436.75129822
2023-01-04,101895149.05301964
2023-01-05,102690626.89696866
2023-01-06,103682560.2959441
2023-01-07,103682560.2959441
2023-01-08,103682560.2959441
2023-01-09,103934458.20670852
2023-01-10,103254870.63396911
2023-01-11,103740737.98933446
2023-01-12,103369047.35095331
2023-01-13,104512503.73373884
2023-01-14,104512503.73373884
2023-01-15,104512503.73373884
2023-01-16,105173227.3017381
2023-01-17,105700348.09321392
2023-01-18,106372299.61134148
2023-01-19,107333995.72738509
2023-01-20,107333995.72738509
2023-01-21,107333995.72738509
2023-01-22,107333995.72738509
2023-01-23,107333995.72738509
2023-01-24,107333995.72738509
2023-01-25,107333995.72738509
2023-01-26,107333995.72738509
2023-01-27,109292419.08937958
2023-01-28,109292419.08937958
2023-01-29,109292419.08937958
2023-01-30,107246573.55785117
2023-01-31,107498997.1958183
2023-02-01,105496403.86443567
2023-02-01,104869478.52692436
2023-02-02,103729690.20375557
2023-02-03,103827171.19828111
2023-02-04,103827171.19828111
2023-02-05,103827171.19828111
2023-02-06,104289371.84227341
2023-02-07,103672478.050559
2023-02-08,103757317.05137387
2023-02-09,102992381.50585052
2023-02-10,105717780.42060778
2023-02-11,105717780.42060778
2023-02-12,105717780.42060778
2023-02-13,105345744.56086731
2023-02-14,104882973.00399143
2023-02-15,104859309.08592284
2023-02-16,104982152.02178577
2023-02-17,104386301.0657571
2023-02-18,104386301.0657571
2023-02-19,104386301.0657571
2023-02-20,104997659.35502647
2023-02-21,104588720.67334758
2023-02-22,103624511.91932626
2023-02-23,103274872.31493816
2023-02-24,102400146.1044881
2023-02-25,102400146.1044881
2023-02-26,102400146.1044881
2023-02-27,101868606.45833704
2023-02-28,102473845.31227486
2023-03-01,103098067.80911893
2023-03-01,102485394.87819083
2023-03-02,103157211.45797472
2023-03-03,102104155.99990666
2023-03-04,102104155.99990666
2023-03-05,102104155.99990666
2023-03-06,102406492.65771577
2023-03-07,104392760.0126168
2023-03-08,106247979.9593397
2023-03-09,106141860.98216732
2023-03-10,106224754.27861287
2023-03-11,106224754.27861287
2023-03-12,106224754.27861287
2023-03-13,105740024.28038684
2023-03-14,104403025.20797595
2023-03-15,106459155.18478525
2023-03-16,105126128.25820404
2023-03-17,104802235.44816269
2023-03-18,104802235.44816269
2023-03-19,104802235.44816269
2023-03-20,103177727.50250988
2023-03-21,102671730.11822438
2023-03-22,103322566.12767282
2023-03-23,103357624.73006356
2023-03-24,104205424.69912878
2023-03-25,104205424.69912878
2023-03-26,104205424.69912878
2023-03-27,105050004.26636931
2023-03-28,104902948.98682734
2023-03-29,104641006.46530458
2023-03-30,105650463.56434013
2023-03-31,107472050.66448848
2023-04-01,107472050.66448848
2023-04-01,106904512.54811986
2023-04-02,106904512.54811986
2023-04-03,107761103.32661429
2023-04-04,107409351.62765242
2023-04-05,107897483.93223341
2023-04-06,107341119.20978543
2023-04-07,106125373.37331773
2023-04-08,106125373.37331773
2023-04-09,106125373.37331773
2023-04-10,106149604.78964728
2023-04-11,106532565.83742061
2023-04-12,106661015.98719454
2023-04-13,106706893.51582283
2023-04-14,106776596.87322709
2023-04-15,106776596.87322709
2023-04-16,106776596.87322709
2023-04-17,106998456.97584338
2023-04-18,106974752.63285716
2023-04-19,107441664.57290535
2023-04-20,107342144.08686316
2023-04-21,107746085.77787694
2023-04-22,107746085.77787694
2023-04-23,107746085.77787694
2023-04-24,107735833.47350389
2023-04-25,107413269.10841368
2023-04-26,106767606.59564433
2023-04-27,106841341.39446788
2023-04-28,106974451.97376284
2023-04-29,106974451.97376284
2023-04-30,106974451.97376284
2023-05-01,106974451.97376284
2023-05-01,106779993.91408625
2023-05-02,106779993.91408625
2023-05-03,106779993.91408625
2023-05-04,107010817.09525348
2023-05-05,106935674.77965531
2023-05-06,106935674.77965531
2023-05-07,106935674.77965531
2023-05-08,107729216.03405488
2023-05-09,107752255.06851158
2023-05-10,107844289.0045348
2023-05-11,108211732.92694658
2023-05-12,108626883.39167732
2023-05-13,108626883.39167732
2023-05-14,108626883.39167732
2023-05-15,109003248.28527214
2023-05-16,109165287.53885408
2023-05-17,109353264.10190159
2023-05-18,109847159.75075485
2023-05-19,109668054.55678682
2023-05-20,109668054.55678682
2023-05-21,109668054.55678682
2023-05-22,109822175.87322971
2023-05-23,109871294.46538475
2023-05-24,109789007.44131039
2023-05-25,109844106.24691558
2023-05-26,109982493.11979894
2023-05-27,109982493.11979894
2023-05-28,109982493.11979894
2023-05-29,110344481.3579066
2023-05-30,109933326.87948026
2023-05-31,109943055.12331659
2023-06-01,109710470.6656906
2023-06-01,109428204.13928264
2023-06-02,109263723.7509981
2023-06-03,109263723.7509981
2023-06-04,109263723.7509981
2023-06-05,109549651.73209412
2023-06-06,110058050.25979468
2023-06-07,109847965.96514608
2023-06-08,110061191.04739842
2023-06-09,110525536.53512879
2023-06-10,110525536.53512879
2023-06-11,110525536.53512879
2023-06-12,111040591.31313434
2023-06-13,110853293.19607237
2023-06-14,110703906.62602489
2023-06-15,110509483.67472021
2023-06-16,110315321.45883685
2023-06-17,110315321.45883685
2023-06-18,110315321.45883685
2023-06-19,109707119.1757361
2023-06-20,109394163.68461542
2023-06-21,109384978.63816312
2023-06-22,109570932.810733
